feature_family,team_prior,global_prior,C,features,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,march_log_loss,march_brier_score,march_roc_auc,march_accuracy_0_5,march_mean_probability,march_actual_home_win_rate
global_and_team_specific,40.0,500.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6261119176751525,0.21659897514138374,0.7135018123238019,0.6491228070175439,0.5099861254350457,0.5213032581453634,,,,,,
global_and_team_specific,10.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6261161403513418,0.21750082468598864,0.7122684252919855,0.6541353383458647,0.5282960170324664,0.5213032581453634,,,,,,
global_and_team_specific,40.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6261161573708115,0.21660905970973454,0.7117146596858639,0.6616541353383458,0.5297784007076068,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6261300651286789,0.2167867602337189,0.71163914619412,0.656641604010025,0.5351831069638694,0.5213032581453634,,,,,,
global_home_trend,5.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6261581988563393,0.21737024627582793,0.7120167136528394,0.6541353383458647,0.5285861503533945,0.5213032581453634,,,,,,
global_home_trend,10.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6261581988563393,0.21737024627582793,0.7120167136528394,0.6541353383458647,0.5285861503533945,0.5213032581453634,,,,,,
global_home_trend,20.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6261581988563393,0.21737024627582793,0.7120167136528394,0.6541353383458647,0.5285861503533945,0.5213032581453634,,,,,,
global_home_trend,40.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6261581988563393,0.21737024627582793,0.7120167136528394,0.6541353383458647,0.5285861503533945,0.5213032581453634,,,,,,
global_home_trend,80.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6261581988563393,0.21737024627582793,0.7120167136528394,0.6541353383458647,0.5285861503533945,0.5213032581453634,,,,,,
team_specific_venue_deviation,10.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6262193146775272,0.2172968103184446,0.7114629480467176,0.656641604010025,0.5428413017514448,0.5213032581453634,,,,,,
global_and_team_specific,5.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6262203298447055,0.21655552158677766,0.7129983890455095,0.6516290726817042,0.5344577482468899,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.626315137259004,0.21712600130358956,0.7110350382601691,0.6641604010025063,0.5421757377776265,0.5213032581453634,,,,,,
global_home_trend,5.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6264080871903623,0.21675233332232047,0.7119412001610955,0.6541353383458647,0.5335845106415124,0.5213032581453634,,,,,,
global_home_trend,10.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6264080871903623,0.21675233332232047,0.7119412001610955,0.6541353383458647,0.5335845106415124,0.5213032581453634,,,,,,
global_home_trend,20.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6264080871903623,0.21675233332232047,0.7119412001610955,0.6541353383458647,0.5335845106415124,0.5213032581453634,,,,,,
global_home_trend,40.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6264080871903623,0.21675233332232047,0.7119412001610955,0.6541353383458647,0.5335845106415124,0.5213032581453634,,,,,,
global_home_trend,80.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit,0.6264080871903623,0.21675233332232047,0.7119412001610955,0.6541353383458647,0.5335845106415124,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6264210410927106,0.21737765118732763,0.7109846959323399,0.6591478696741855,0.5431893960968412,0.5213032581453634,,,,,,
team_specific_venue_deviation,80.0,200.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6264418021662368,0.2175167126420063,0.7113874345549738,0.6541353383458647,0.5391901123206974,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,500.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6264506129431735,0.2175917872006714,0.7116643173580348,0.6616541353383458,0.5364309364459174,0.5213032581453634,,,,,,
global_and_team_specific,20.0,200.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6264573866988983,0.2166411103157272,0.7122684252919854,0.656641604010025,0.5304233769005734,0.5213032581453634,,,,,,
global_and_team_specific,40.0,200.0,0.005,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6264719162272382,0.21759040328737092,0.7115384615384617,0.6641604010025063,0.536127694482716,0.5213032581453634,,,,,,
global_and_team_specific,10.0,200.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6265028046028498,0.21660738759238055,0.7122935964559001,0.656641604010025,0.5321463150577829,0.5213032581453634,,,,,,
team_specific_venue_deviation,5.0,500.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6265030799893914,0.21732489409765932,0.7123691099476441,0.6591478696741855,0.5463636039103735,0.5213032581453634,,,,,,
team_specific_venue_deviation,5.0,500.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.626506153523331,0.21706525216971284,0.7122935964559001,0.656641604010025,0.5456040606416299,0.5213032581453634,,,,,,
team_specific_venue_deviation,10.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.62650629663016,0.21718807257835623,0.7114377768828031,0.656641604010025,0.5452043651111929,0.5213032581453634,,,,,,
global_and_team_specific,80.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6265471204877376,0.21661680917714146,0.71163914619412,0.6666666666666666,0.5279927766303434,0.5213032581453634,,,,,,
team_specific_venue_deviation,10.0,500.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6265630438610518,0.2169054892982849,0.7117901731776077,0.6616541353383458,0.5404723662783821,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,500.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6265759504670952,0.216695139704125,0.7126711639146195,0.6616541353383458,0.5275841665520947,0.5213032581453634,,,,,,
team_specific_venue_deviation,10.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6266313354858936,0.21746439322575747,0.7112364075714861,0.6616541353383458,0.5459557028121251,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,500.0,0.02,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6266321985756664,0.21680526006877487,0.7117398308497784,0.6591478696741855,0.5339199656974971,0.5213032581453634,,,,,,
global_and_team_specific,80.0,100.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.626706279438022,0.21724014113662002,0.7107581554571085,0.6541353383458647,0.5461642762681949,0.5213032581453634,,,,,,
global_and_team_specific,5.0,100.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6267443353183862,0.21737785606403232,0.7119160289971809,0.656641604010025,0.548498428840803,0.5213032581453634,,,,,,
team_specific_venue_deviation,5.0,200.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6267452455910867,0.21741953448447648,0.7121929118002417,0.6591478696741855,0.5480856321691774,0.5213032581453634,,,,,,
global_and_team_specific,10.0,100.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6267485496374597,0.2172161313764176,0.7118908578332663,0.6616541353383458,0.547436827305062,0.5213032581453634,,,,,,
team_specific_venue_deviation,40.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6267652304074864,0.21689750295495858,0.7118153443415224,0.656641604010025,0.5370412629526659,0.5213032581453634,,,,,,
team_specific_venue_deviation,80.0,100.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6267727990321909,0.21728593390429937,0.7115888038662908,0.6491228070175439,0.5466862073365035,0.5213032581453634,,,,,,
global_and_team_specific,40.0,100.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6267737237327237,0.21739012750936068,0.7107581554571083,0.6516290726817042,0.5467407655512985,0.5213032581453634,,,,,,
team_specific_venue_deviation,5.0,200.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6267806182570057,0.21716588458321742,0.7122935964559002,0.656641604010025,0.5474797142321693,0.5213032581453634,,,,,,
team_specific_venue_deviation,20.0,200.0,0.015,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + venue_deviation_diff,0.6268171206438169,0.21703320932723216,0.7114629480467176,0.6641604010025063,0.5408497639426039,0.5213032581453634,,,,,,
global_and_team_specific,10.0,100.0,0.0075,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.62681760107026,0.21749916164873503,0.7114126057188883,0.6641604010025063,0.5480587214696339,0.5213032581453634,,,,,,
global_and_team_specific,5.0,100.0,0.01,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + global_home_logit + venue_deviation_diff,0.6268189393925298,0.21711804805623017,0.7119915424889248,0.6516290726817042,0.5478361142805795,0.5213032581453634,,,,,,
