family,features,C,validation_log_loss,validation_brier_score,validation_roc_auc,validation_accuracy_0_5,validation_mean_probability,validation_actual_home_win_rate,validation_minimum_probability,validation_maximum_probability,half_life,shrinkage_prior,srs_alpha,srs_half_life_days,pca_components
champion_plus_srs_alpha_300_half_life_120,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_120,0.05,0.6367553196679064,0.21867676345161657,0.7119412001610954,0.6616541353383458,0.5449655301572324,0.5213032581453634,0.05527330386557391,0.9768015454075448,,,300.0,120.0,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.0075,0.627525131665216,0.21747838505069175,0.7109595247684252,0.6541353383458647,0.5471792898935592,0.5213032581453634,0.11044623646969076,0.9401766698733034,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.01,0.6281146425580519,0.2173649103942198,0.710833668948852,0.6541353383458647,0.5466762540173741,0.5213032581453634,0.09350149243960577,0.9513576000176923,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.005,0.6282695369755207,0.21821984966779662,0.7109595247684254,0.656641604010025,0.5480063155927944,0.5213032581453634,0.14273728300178148,0.9180019641177805,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.015,0.6298975033285047,0.21754525785883325,0.7108840112766815,0.6616541353383458,0.5460775317072817,0.5213032581453634,0.07655053224287228,0.9622725946936789,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.02,0.6314972185986247,0.2177946666765064,0.710707813129279,0.6641604010025063,0.5457693582773298,0.5213032581453634,0.06831707979394507,0.9675443583647554,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.003,0.6326563460931434,0.2205167061762117,0.7108588401127667,0.6641604010025063,0.549040422980049,0.5213032581453634,0.19893202942247462,0.8767591492570371,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.03,0.6338290276173869,0.21818646475263873,0.7111608940797423,0.6616541353383458,0.54527477498055,0.5213032581453634,0.06048027702593479,0.9726420886914007,,,300.0,,
champion_plus_srs_alpha_300_half_life_none,net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff + srs_alpha_300_half_life_none,0.05,0.6365003846950362,0.2186311901679992,0.7118656866693516,0.6616541353383458,0.5448259661091629,0.5213032581453634,0.055447417258369935,0.9763928982313396,,,300.0,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.01,0.6265561581898967,0.2171089355291156,0.7117650020136931,0.6541353383458647,0.5453384696845931,0.5213032581453634,0.11481328120949998,0.9395096375845003,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.0075,0.6270999322868537,0.2176602328269463,0.7114126057188884,0.6516290726817042,0.546314837538641,0.5213032581453634,0.1385951150638604,0.9236592015179306,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.015,0.6275329898680068,0.21696165044644072,0.7120167136528394,0.6616541353383458,0.5440351136618271,0.5213032581453634,0.09034847285975764,0.9550866882560127,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.02,0.6290385735736698,0.2171407618582776,0.7120670559806686,0.6491228070175439,0.5432266454409714,0.5213032581453634,0.07828523805328036,0.9625126740315361,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.005,0.6301404430417283,0.21931746711730352,0.711110551751913,0.6541353383458647,0.5476640010269892,0.5213032581453634,0.18206503560257603,0.8929121067049709,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.03,0.6316925017338836,0.21758474512863568,0.712369109947644,0.6541353383458647,0.542293791837401,0.5213032581453634,0.06681454508787243,0.9696567551605089,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.05,0.635143572408815,0.21823080811235998,0.7125453080950463,0.656641604010025,0.541423485358455,0.5213032581453634,0.05870367626210049,0.9759621640573597,,,,,
cumulative_plus_recent,cumulative_margin_diff + recent_margin_evidence_diff,0.003,0.63790442675236,0.22305895099706413,0.7111357229158276,0.656641604010025,0.5490527649792469,0.5213032581453634,0.2512181394277357,0.83952932453667,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.01,0.6293048874912929,0.21836278335793222,0.7091346153846153,0.656641604010025,0.5492528939578011,0.5213032581453634,0.14329232756419935,0.9271182712868762,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.0075,0.6299141893282105,0.21892778414472217,0.7088073902537253,0.6616541353383458,0.54997330487353,0.5213032581453634,0.16836778758631615,0.9097039853345993,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.015,0.6299415508379809,0.2181196972904404,0.7097638944824809,0.6541353383458647,0.5481591227936589,0.5213032581453634,0.1161600162604282,0.9451303318562886,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.02,0.6310559566548868,0.21818492579529825,0.7102673177607732,0.6541353383458647,0.5473722952879012,0.5213032581453634,0.10201066457398289,0.9542637118303664,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.005,0.6327965909192433,0.22051969165983037,0.7087822190898108,0.6541353383458647,0.5508425258447265,0.5213032581453634,0.2122384287984462,0.8773091654362937,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.03,0.6330034826581468,0.21841395235730085,0.710745569875151,0.6541353383458647,0.5462602302829858,0.5213032581453634,0.08770377876325205,0.96352436369098,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.05,0.6354576826038031,0.21872757106243348,0.7114000201369313,0.6541353383458647,0.5449118600976419,0.5213032581453634,0.07659789152708711,0.9712551851222556,,,,,
net_wins_plus_cumulative,net_wins_diff + cumulative_margin_diff,0.003,0.6400457073918325,0.22405469226958558,0.7085556786145791,0.6641604010025063,0.5515394970866951,0.5213032581453634,0.2786373459922074,0.8236709239041516,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.015,0.6299088512228177,0.21862808369109737,0.7075614176399515,0.6491228070175439,0.5476517867716146,0.5213032581453634,0.08592409923799796,0.9501376497551394,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.01,0.6300342835132627,0.2190527028966479,0.7075110753121224,0.6516290726817042,0.5485004034907388,0.5213032581453634,0.11138423095164048,0.9332253643926688,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.02,0.6306102879854559,0.21863346650662227,0.7074355618203785,0.6491228070175439,0.5471073346298991,0.5213032581453634,0.07311181625997833,0.958376630720348,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.0075,0.6312574949065113,0.2198010786485809,0.707410390656464,0.6541353383458647,0.549122571521079,0.5213032581453634,0.13589287554153065,0.9163260897262803,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.03,0.6321598132270121,0.21887161742233444,0.7072845348368908,0.6491228070175439,0.5464868984645973,0.5213032581453634,0.06050467310045145,0.9662977206479387,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.05,0.6343409849272027,0.2193152768183007,0.7067055980668546,0.6541353383458647,0.5459536294038281,0.5213032581453634,0.05078317889132044,0.9722714809823455,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.005,0.6349759300118115,0.221677782078508,0.7075614176399516,0.6591478696741855,0.5499206510661446,0.5213032581453634,0.18043608036544584,0.8841594976338467,,,,,
net_wins_plus_recent,net_wins_diff + recent_margin_evidence_diff,0.003,0.6429828043729294,0.22550398350386094,0.7076117599677809,0.656641604010025,0.5506389345815207,0.5213032581453634,0.25085838512586695,0.8296874670631028,,,,,
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.0075,0.6277440643059384,0.21760685235214175,0.7104309303262184,0.656641604010025,0.5471912754231935,0.5213032581453634,0.10599597673785362,0.9418398297965436,,,,,1.0
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.01,0.6283181509794439,0.2174970808559697,0.7104309303262184,0.6516290726817042,0.5463804395707444,0.5213032581453634,0.08832561136556934,0.9529997337894377,,,,,1.0
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.005,0.6285536426233358,0.21837190074889468,0.7104309303262184,0.6541353383458647,0.5483531989502343,0.5213032581453634,0.13972870122838624,0.919426594359002,,,,,1.0
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.015,0.6301117444436677,0.21770661473045544,0.7104309303262184,0.6541353383458647,0.5453483793410849,0.5213032581453634,0.07031749793210355,0.9639264834323803,,,,,1.0
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.02,0.6316927464163697,0.21798310891591727,0.7104309303262184,0.6541353383458647,0.5447170252044911,0.5213032581453634,0.06138456787898794,0.9691604784904606,,,,,1.0
pca_1_component,PCA(net_wins_diff + cumulative_margin_diff + recent_margin_evidence_diff),0.003,0.6331567989022991,0.2207645756767572,0.7104309303262184,0.6616541353383458,0.5496442633123179,0.5213032581453634,0.19835371218356404,0.8773170459470734,,,,,1.0
